,Der.p.24,Der.p,rAsp.f.16,Der.p.10,Der.f.21,rAsp.n.25,Der.f.3,rAsp.f.18,rAsp.f.7,rAsp.f.17,Der.p.13,Der.p.7,Cladosporium.xanthochtomaticum..328.,Der.f.8,Penaeus.monodon..Black.Tiger.Prawn.,rBlo.t.4,rBlo.t.21,Panicooids,Pussy.Willow..China.,rBlo.t.8,Der.f,rAsp.f.15,Der.p.23,rBlo.t.15,rAsp.o.21,Periplaneta.americana,rBlo.t.14,Der.p.18,H3,Der.p.15,Trametes.sanguinea..974.,Der.p.6,Der.p.4,Byssochlamys.spectabilis.,Der.f.20,rAsp.n.14,rBlo.t.5,Curvularia.sp.,rAsp.f.L1,rAsp.f.34,Der.p.8,Chlorolds,Neurospora.app.,rAsp.f.6,nFel.d.1,rAsp.f.28,Blatella.germanica,rBlo.t.20,rBlo.t.2,Der.p.20,Der.p.14.Mag.3,Elaies.guineensis,Der.f.7..47.,Der.p.3,nDer.f.1,rAsp.f.5,rBlo.t.1,Der.f.6,Der.p.5,nDer.p.2,rAsp.f.3,Der.p.21,H7,H22,rBlo.t.9,rAsp.f.2,HE,Der.p.14.Mag.1,Der.f.9,nDer.p.1,Der.p.11,Pussy.Willow..Taiwan.,Der.f.4
cube0_cluster0,-19394.825395093998,23100.9080033666,-5829.67911815735,9488.276363141335,-16077.6741208766,-33368.2254652195,6223.980810856396,5554.298927625199,9128.837612675396,4872.819454771375,3092.3560217739996,1530.7889970421352,-2910.7039204845896,-6756.24625273767,3888.1665165310646,7940.13646773025,-21406.534785313026,437.88745950757595,-4508.824649323905,5865.51781322018,3193.49113994803,47588.04773316305,24966.03604668075,-3958.5918546793364,-6063.84770416384,24531.8353671384,5865.01257424217,-553.472009024805,-2142.34717908759,2118.57683015634,-17301.24516304655,-7425.12269015913,-2556.5313489640907,-6714.549160647666,-5466.558336599201,21534.19314700905,15935.8223069179,25070.6281205231,-3053.507332718945,-23018.82540019355,-387.7944760798398,-2826.599794152273,-25702.62564527455,5099.688184120279,17650.16872012545,-2374.96591150554,-34782.15210763605,18279.06609190455,-12452.053940387845,17881.63886095365,9362.940618418364,-774.5193096091971,6848.85010957795,-12248.761797497385,1600.2186905549338,-15716.56658432605,-11529.280762115935,-7991.337680246144,9286.639841536295,8133.331256525595,8932.711251538525,12426.012545783944,-10129.88104382166,1845.387560393065,2845.2847670331485,-1175.9972256952085,-1923.397026934485,932.0028624493341,-25576.87290328205,-8020.334515577895,-10058.68804690223,10147.170208312615,5117.78352751044
cube0_cluster1,3828.92458360657,11372.9801274419,-15668.02718529098,13866.45578146751,-31658.792158061326,-5250.2587702264245,-5790.11054327815,-11279.837691789875,9640.47001403286,-3809.744715123805,1703.6399488310049,-2684.059396485325,-14746.13814125691,3183.9546798635492,-12177.39081962252,-2177.1159759466127,-10666.68590835075,-7496.16908042097,-9691.104941727785,7033.79303306974,39089.874275084745,-9257.32726308387,5442.45206287053,-33937.3754815926,-1944.5196796430334,-33358.853512921254,-5959.56079469035,-28831.316451650848,-1844.2173401416512,-31854.198148514148,12050.894010562395,2068.65771076649,7163.1042107424855,-1146.9573721582601,-2165.820618665801,-9787.334493779945,-62317.29430053845,-4350.681007647329,-6119.681014256105,10696.55308419133,-4462.283269132455,-11925.518093737435,-5938.151829339645,-4068.3065627654505,853.6601382015949,-3102.36520896519,-37944.305914863646,-6186.419329206456,5681.98328997134,-12991.02570727965,-7667.212364766585,10338.79400899662,-6555.0059946097845,8148.989013099215,4306.185488126955,20312.28487630465,9165.727086068455,2361.767666841291,2833.784873222255,8099.489607156629,3546.175761678425,1058.0626840495702,-16377.730515644029,-1978.862922589365,-10374.938233900448,20168.130134267954,-4871.24680559457,11043.196058408761,-1512.6938377019997,9030.46178539044,9321.470635139609,699.8373470008503,-8666.135009642276
cube1_cluster0,-621.420601795711,2377.60228779774,-4198.12399818869,7528.6751481874,3612.31562432119,-14544.5263742063,-6544.65232413512,-8594.15147864781,2774.8510632643,-258.034695215048,-2781.99553815077,-2004.44718191354,-13208.6566260509,-2014.94283768722,-2078.48718192246,1623.15039082346,-20303.925834059,6198.84453575384,4308.32240501794,119.848678527545,1409.23433016187,6364.35990379713,2996.4998496299,-9532.01580446778,-6135.32733423875,10882.7569225234,-1962.98971750339,-9376.47330854606,-11035.9653918108,783.472868912831,4155.57931002874,-10767.11610859,659.042632162424,-10496.0547662286,-5823.92208220005,-8481.66645429583,-25927.0559897574,14470.1861081248,2946.88806318992,-14655.0390597839,-1986.23265523959,-4606.22969322235,-16839.0883250181,-3283.6765104996,24184.8502078573,-2597.04197042195,-37027.9025784205,-833.829831375389,2129.39042896082,-10932.4170754226,7217.73242812213,-5870.15582437581,3485.61788101714,5256.77806872546,1540.90798465747,3486.70056368649,3292.08415143974,-4301.16549830817,-231.775171580863,6314.29097540909,-1258.05218310094,-1394.16168403789,-23993.4396001074,-6204.87376419935,-6036.72869012216,-8640.00579881556,-4373.27045232576,5674.77205045847,-23096.8701585346,-190.863146625272,-9490.26751822144,10098.2430206232,-8602.95360915949
cube1_cluster1,-11545.499214952051,9246.358610595415,-20918.35444316615,7208.8592713196795,-24491.25888933175,-22940.06670188765,1491.547784197295,-50205.1303328566,15546.78355279895,-22614.039635523397,-4533.32809221773,6795.811173678016,5740.49133356563,-16035.00047227805,38093.24250117055,15916.74571365205,6144.50710037096,852.3850989882851,-6171.68405629638,6220.657387897115,-3104.06592400778,30278.295060600853,21441.6687502279,-9787.42468579093,253.83442176464496,8533.630164554865,3871.228032058285,-19763.128074813147,-17349.780045781452,2982.01276037988,-22869.914643483302,-14886.191518859101,-6181.74920925928,-598.3026297131345,-16409.03950632185,14233.096392711901,27901.047776149302,13929.40210807695,-1192.72818852418,-19967.10989482375,519.6357441426485,20668.272691076,-25825.841979858553,6728.247648543945,-13097.51724920145,11568.82795696185,-23754.9064277899,43163.0949422023,-24164.19160083615,29029.73958305185,3007.97878616465,-21251.93239362495,-1471.854955547587,3546.293543083495,-5613.587563521355,-11725.178782649651,-12938.09179838253,-9653.809459626063,-1984.85973743422,21569.27089524925,15399.74525928705,20911.35492767235,-3952.680713826935,3640.4872268294653,2592.38080905528,3189.96085325609,-2698.378132722835,-1102.6913152037926,-37299.48699036495,21523.9980311842,-10030.1759638358,11151.09517820745,-3912.081302431039
cube2_cluster0,39676.371441918556,-2627.39706746398,3787.605505291,-1090.0577773245445,-14035.65821045545,-699.750094949246,-3788.454538677275,-6477.9648473652305,19409.58429559685,-5098.785408744785,4377.636960777975,-2197.486641902885,-9184.116257901615,-1739.81909893444,-1498.08688655133,-762.2417673955551,-8833.267329769895,10121.50770699732,-9495.980962593654,-5117.1835814825645,-3594.857330040775,15926.77342524815,4321.28101113298,-11929.245072892201,14954.023933322,519.993257420035,-8.699741707115493,-14546.737359436102,-19350.3586339638,-3441.0668164710028,-5450.117641831785,-3318.542039373015,-2823.086156665955,-4987.72744466824,-9858.055362404715,-7364.07152433689,-33262.712820346045,2059.83094537931,-970.1298300467295,593.7830687642415,-3429.212374038345,4787.976535044811,-21589.65358532375,12381.38182252405,406.31047247064646,-2634.880352996775,-32757.07557951425,-4558.130211343925,-2936.5457164688,-1460.0202477714251,913.6679917016655,-28102.75283761115,1231.3836768328106,10188.115787924984,8371.401061964705,37733.613755835846,5576.425414161855,737.55309924496,-7624.95618683783,6971.10952453519,15484.13222386325,2255.3221427602903,-17985.525169291148,-6217.783383383585,2498.4868897882934,12277.070038322956,5919.39129121002,14872.0777604417,-16525.019481001502,8534.382223691846,-13229.70478922255,-3188.3852001137802,-5260.456627031325
cube2_cluster1,1068.411418857235,3869.8484812351653,-20788.8554164052,3962.877132687485,-28091.378810663,-17075.4819425834,-8924.50391160039,-55032.862558159846,16685.07433929035,-21522.557283843402,-6150.40930926438,3164.186894482705,5732.5169220702555,-17244.48870398195,27801.32653448455,12217.85570774065,-214.93078829550495,8856.585051749254,-6682.63318460809,2906.75909167415,20757.444081727197,14106.334931471,15412.7806090823,-18512.504971626302,5701.1739849939895,324.24496708720653,383.5701236349516,-24236.5486576383,-21394.9126518275,2331.5465190510104,-9848.239915369935,-12489.74311490595,645.4255157671801,-1523.663786479865,-19955.232569304448,13425.44313506435,17811.1116805301,8557.975037836784,1501.335696957955,-19936.778354014,-561.77122303771,14578.78219471275,-20798.58481596475,3155.209818762585,-17302.92950747905,3482.855236678655,-15019.4786241213,43931.62633022365,-27103.1704363741,14119.2462527003,-702.3787377332089,-11573.160441808399,13142.09410650125,3630.003233835485,8773.314203375165,-2596.02033944134,-10593.621654642126,7748.785187474854,-5885.615298774184,10121.06354148925,14425.840196144549,35935.2537620078,4860.0419235708705,-12841.17061075275,10.930408729508997,-576.0776012965821,-1332.8428316782401,-2716.100999746455,-43544.046177542594,9029.128707743395,-14607.800953928148,8454.808440684796,9243.688903239095
cube3_cluster0,20640.95927364615,-25484.2819607133,9173.143076819244,2661.90154665549,-25154.67654221245,24491.60090946985,-2416.46900449422,1931.91303462502,10587.435693682739,-3975.3455854904596,-2790.020743485005,9498.541670151826,-24939.23617243635,-5965.257856485256,4865.34882697612,12240.86113890235,-14860.5357810214,-2389.03731332174,-15364.024874697348,-8496.233018994386,-3667.29672741798,18158.0815803226,974.9818245143895,-20116.9609950014,45659.22336285245,-20865.776869645248,-1956.1078658942251,-15170.845549074202,-20648.772655592802,-2416.839795293665,-8221.30608958887,5484.175881214895,-8321.117371995744,-12849.95882907275,-25992.03560803285,9215.97577686602,-37930.015631734146,-13488.5868542197,4915.676504482421,11683.5527064546,7482.729631175175,1654.8746351710251,-20401.21589975345,1515.951173727324,-2524.0764528187447,-4640.50508570614,-35264.3833874084,-2991.37506853405,-8049.591482354444,-453.22269309156803,-5897.133865001366,-39038.30819572725,15680.782972978399,3883.5387505638846,1842.7802534397251,40081.467731641605,-2464.877439269185,18446.045937230352,-5275.944980518715,-85.331750997497,7602.876941944454,4181.293419024485,-11945.6968524729,-2281.8391264013053,-128.28571152862415,22229.14867158365,4830.15854955725,20021.0810459698,-20412.2052195638,-1370.07360856415,-23599.28814426995,-9163.698695634024,2440.12878891318
cube3_cluster1,31627.3437562136,5389.39441455138,-24434.5172694355,2045.35916766378,-29977.7710468096,-11624.9365797116,2391.3772781156,-59366.0574596787,14268.3636080163,-25359.5777615981,290.934571208323,4024.1826264213,-4599.15328221656,-11527.6823299563,18907.6838939279,8376.44077041856,1280.17690573131,14899.1673651177,-12884.6638537747,-2214.49909359964,17061.8255918914,8321.51646835168,29544.4262688703,-21995.9990746917,13420.3195217506,1683.79418989467,-1768.29878339841,-20951.1512944259,-28931.8290751055,-142.717668118894,-7814.95392587836,-13549.0926289385,-1593.76335770098,4408.297871132,-27018.6168003668,13202.6075386525,5014.51768630972,2890.96673979756,-6082.6343806417,-15823.4658199092,6343.03329234841,21438.1382825686,-25077.6372924407,2169.68920227171,-17128.2960045669,2146.12581278446,-3146.1860934986,48020.5003968846,-31359.7361723131,38278.0880825458,-3739.95547012489,-24774.3406364252,8273.12566798506,2531.46495988355,7487.67499015378,7700.20041984885,-13363.4043203822,11292.0486454045,-6160.6772443131,10772.3773748281,16354.9984496998,46793.1888143342,-2963.52233929041,-7392.98610961688,-3451.8733407766,4234.98848719604,-6622.0266838054,2875.27279541903,-45765.5109172205,5963.68826292538,-17211.0301628135,2236.38398194835,10867.1997978385
cube4_cluster0,21552.09885309,6893.56373808561,-29639.5955532002,-2370.19830522206,-35837.2291300925,-10811.6510012693,4946.98161190792,-50253.9361367611,14268.3636080163,-26343.6223648631,-3517.97875826119,5477.22318195754,-14881.5309313846,-6425.03373473867,15966.2295616737,5993.4009053012,7280.61081314574,28222.7136054657,-10770.4995875547,-5053.67830617205,27575.9420897694,2133.57079179019,36842.2995427292,-26173.7469327857,18575.4755365524,-3559.13388615703,-6847.69621387146,-26144.6291443061,-32275.4474572911,-8345.90096573597,-7297.44165195646,-11487.2531739115,-6325.16566292292,-1667.49664736132,-29415.2836145808,4990.41221613622,-11492.8518292637,130.631379916747,-6073.59154413846,-14112.0050080923,2582.17553471804,34517.7028209598,-24084.7176830195,2173.08361965527,-20654.8653786658,-7786.65549341615,-4741.92553281941,49920.6820746817,-31252.1690905997,44670.8217632729,-6768.70099121327,-23551.9323665074,15561.6957052422,70.1579604936851,6382.47717739136,12853.6037059862,-20102.4123673157,13650.1483173614,-9484.98884587351,8335.70806809211,13718.3925583599,54579.740947059,-11968.2624920467,-12987.6772210518,-9288.69612220505,2925.42788185013,-7598.72258003353,3814.98949305841,-46667.4368943072,6638.39239582169,-19566.6344441361,-4460.4902865072,11233.9170193477
cube4_cluster1,53508.5754979387,-22649.9675774205,796.465495154203,-357.637465030042,-35949.5255385357,15095.8215700386,8149.78729901413,-15350.9608614615,13144.9991274475,-2198.00360238314,11564.289323692,10782.6636818756,-32191.2567709085,-5172.92345089297,13942.4808919831,24364.6192367125,-28778.8621785198,-9348.76295277872,-13774.4088540196,-10335.795161581,-6955.22072335215,14166.1338097267,-3170.82802873358,-20489.5923697612,44183.874563273,-26956.5977307522,8769.20725297109,-7222.78902108501,-22469.795872829,14300.3391399616,-13880.8420744866,7121.3112148656,1581.67484720058,-12745.6293484908,-26451.6197523798,18771.7598146729,-31804.9852990746,-22254.363183782,2803.6503683199,7605.83002720341,15131.271644065,-4187.12053927856,-33429.903868311,15239.680392258,-13873.8745446764,-4746.67407898956,-25284.6596533732,34201.3361770204,-17563.4684373209,21264.9097131984,-4155.50356686841,-46227.8804114726,16920.9805385534,10982.1761317986,-7366.1254726544,34374.585949929,4649.57043197335,23740.8621478202,6109.11467635366,-7422.56736495267,13289.8587539209,29350.5416958281,-7448.42902878778,-9942.49818705515,4459.13439130592,19154.0369969827,12105.5269086768,19935.5596813785,-40387.1781227425,-21023.6857724419,-22352.4366133845,-10168.5441028599,39655.345773626
